IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.24.198.172,4,4,0.00,188.01,0.00
104.25.207.252,4,4,0.00,188.02,0.00
172.64.154.65,4,4,0.00,188.02,0.00
172.65.88.141,4,4,0.00,188.03,0.00
104.20.243.52,4,4,0.00,188.04,0.00
104.23.99.235,4,4,0.00,188.05,0.00
104.27.30.189,4,4,0.00,188.06,0.00
104.18.195.13,4,4,0.00,188.06,0.00
104.25.248.220,4,4,0.00,188.07,0.00
104.25.119.188,4,4,0.00,188.07,0.00
104.17.158.90,4,4,0.00,188.12,0.00
104.20.10.161,4,4,0.00,188.13,0.00
172.66.149.216,4,4,0.00,188.14,0.00
198.41.209.217,4,4,0.00,188.19,0.00
104.22.76.144,4,4,0.00,188.20,0.00
172.65.49.251,4,4,0.00,188.23,0.00
104.20.234.114,4,4,0.00,188.26,0.00
104.25.254.1,4,4,0.00,188.29,0.00
172.66.139.217,4,4,0.00,188.30,0.00
104.24.176.104,4,4,0.00,188.33,0.00
104.24.5.116,4,4,0.00,188.41,0.00
162.159.25.124,4,4,0.00,188.43,0.00
172.65.7.4,4,4,0.00,188.45,0.00
172.66.131.28,4,4,0.00,188.45,0.00
162.159.38.165,4,4,0.00,188.46,0.00
104.22.36.188,4,4,0.00,188.47,0.00
104.22.74.171,4,4,0.00,188.49,0.00
104.17.61.203,4,4,0.00,188.50,0.00
104.20.244.79,4,4,0.00,188.51,0.00
104.27.107.32,4,4,0.00,188.57,0.00
104.23.116.75,4,4,0.00,188.58,0.00
104.27.101.36,4,4,0.00,188.61,0.00
104.27.56.12,4,4,0.00,188.62,0.00
104.18.33.205,4,4,0.00,188.64,0.00
104.24.25.114,4,4,0.00,188.66,0.00
172.66.44.109,4,4,0.00,188.66,0.00
172.65.79.168,4,4,0.00,188.66,0.00
173.245.49.228,4,4,0.00,188.66,0.00
104.20.210.134,4,4,0.00,188.66,0.00
104.16.72.202,4,4,0.00,188.67,0.00
172.67.36.157,4,4,0.00,188.71,0.00
162.159.197.99,4,4,0.00,188.74,0.00
104.19.38.64,4,4,0.00,188.75,0.00
162.159.135.202,4,4,0.00,188.75,0.00
104.20.129.95,4,4,0.00,188.77,0.00
172.65.161.14,4,4,0.00,188.80,0.00
104.24.199.24,4,4,0.00,188.81,0.00
104.27.127.107,4,4,0.00,188.83,0.00
104.24.1.215,4,4,0.00,188.84,0.00
172.66.152.191,4,4,0.00,188.86,0.00
172.67.45.53,4,4,0.00,188.87,0.00
104.19.69.164,4,4,0.00,188.87,0.00
104.24.48.64,4,4,0.00,188.94,0.00
104.24.70.161,4,4,0.00,188.95,0.00
104.24.76.58,4,4,0.00,188.95,0.00
104.16.77.180,4,4,0.00,188.96,0.00
104.16.105.225,4,4,0.00,188.97,0.00
172.67.16.228,4,4,0.00,188.99,0.00
172.67.103.184,4,4,0.00,189.00,0.00
104.18.249.229,4,4,0.00,189.00,0.00
172.65.180.99,4,4,0.00,189.00,0.00
104.20.113.251,4,4,0.00,189.00,0.00
104.22.79.143,4,4,0.00,189.00,0.00
104.17.196.73,4,4,0.00,189.02,0.00
104.20.1.218,4,4,0.00,189.03,0.00
172.65.121.33,4,4,0.00,189.05,0.00
104.19.191.8,4,4,0.00,189.05,0.00
104.16.206.63,4,4,0.00,189.08,0.00
104.19.117.112,4,4,0.00,189.15,0.00
104.25.192.123,4,4,0.00,189.15,0.00
104.22.15.202,4,4,0.00,189.20,0.00
104.24.67.94,4,4,0.00,189.22,0.00
104.16.246.183,4,4,0.00,189.24,0.00
104.25.36.140,4,4,0.00,189.26,0.00
172.65.91.223,4,4,0.00,189.28,0.00
104.20.62.242,4,4,0.00,189.28,0.00
104.27.81.85,4,4,0.00,189.32,0.00
104.25.169.208,4,4,0.00,189.32,0.00
104.27.69.89,4,4,0.00,189.32,0.00
104.18.175.207,4,4,0.00,189.35,0.00
104.19.45.130,4,4,0.00,189.35,0.00
104.18.10.202,4,4,0.00,189.35,0.00
104.24.252.122,4,4,0.00,189.39,0.00
104.25.101.44,4,4,0.00,189.43,0.00
104.25.225.144,4,4,0.00,189.44,0.00
104.22.64.52,4,4,0.00,189.47,0.00
172.67.32.41,4,4,0.00,189.49,0.00
104.24.86.103,4,4,0.00,189.61,0.00
172.67.88.236,4,4,0.00,189.62,0.00
104.20.85.234,4,4,0.00,189.64,0.00
104.24.200.140,4,4,0.00,189.66,0.00
104.20.255.22,4,4,0.00,189.73,0.00
172.64.95.131,4,4,0.00,189.74,0.00
104.24.58.183,4,4,0.00,189.75,0.00
198.41.219.164,4,4,0.00,189.79,0.00
104.20.48.89,4,4,0.00,189.81,0.00
104.25.27.241,4,4,0.00,189.83,0.00
